Porc;Age;Segment;Passage ;Segment_Age;Total;Spherical;NonSpherical
5;D35;Jejunum;P0;Jejunum_D35;8.597;6.604;1.993
6;D35;Jejunum;P0;Jejunum_D35;9.262;5.236;4.025
7;D35;Jejunum;P0;Jejunum_D35;9.262;6.487;2.775
8;D35;Jejunum;P0;Jejunum_D35;11.763;8.363;3.4
9;D21;Jejunum;P0;Jejunum_D21;8.519;4.572;3.947
10;D21;Jejunum;P0;Jejunum_D21;6.292;3.478;2.814
11;D21;Jejunum;P0;Jejunum_D21;4.064;2.423;1.641
12;D21;Jejunum;P0;Jejunum_D21;6.057;3.947;2.11
13;D35;Jejunum;P0;Jejunum_D35;8.441;5.002;3.439
14;D35;Jejunum;P0;Jejunum_D35;NA;NA;NA
15;D35;Jejunum;P0;Jejunum_D35;7.308;4.103;3.204
16;D35;Jejunum;P0;Jejunum_D35;1.133;1.055;0.078
17;D21;Jejunum;P0;Jejunum_D21;10.864;4.846;6.018
18;D21;Jejunum;P0;Jejunum_D21;12.349;6.487;5.862
19;D21;Jejunum;P0;Jejunum_D21;6.604;3.439;3.165
20;D21;Jejunum;P0;Jejunum_D21;8.011;3.908;4.103
21;D35;Jejunum;P0;Jejunum_D35;4.142;1.837;2.306
22;D35;Jejunum;P0;Jejunum_D35;4.26;2.188;2.071
23;D35;Jejunum;P0;Jejunum_D35;1.055;0.742;0.313
24;D35;Jejunum;P0;Jejunum_D35;4.181;1.524;2.657
25;D21;Jejunum;P0;Jejunum_D21;12.857;4.924;7.933
26;D21;Jejunum;P0;Jejunum_D21;4.963;2.071;2.892
27;D21;Jejunum;P0;Jejunum_D21;8.871;2.931;5.94
28;D21;Jejunum;P0;Jejunum_D21;2.267;0.86;1.407
5;D35;Jejunum;P1;Jejunum_D35;26.964;19.93;7.034
6;D35;Jejunum;P1;Jejunum_D35;15.436;8.91;6.526
7;D35;Jejunum;P1;Jejunum_D35;20.75;14.303;6.448
8;D35;Jejunum;P1;Jejunum_D35;24.346;17.194;7.151
9;D21;Jejunum;P1;Jejunum_D21;75.382;47.363;28.019
